epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2607,1.20744,2.59059,1.45478,0.00439,1,0.62361,0.38977,1.30085,2.93243,1.67139,0.00016,0.00016,0.00016
2,23.8702,1.19282,2.26356,1.52359,0.0043,1,0.74361,0.47411,0.96287,2.76424,1.37118,0.000333268,0.000333268,0.000333268
3,35.4624,1.01763,1.67652,1.27762,1,0.56713,0.78111,0.46744,0.83857,2.47663,1.24015,0.000499408,0.000499408,0.000499408
4,47.206,0.9526,1.43876,1.25093,0.87614,0.66667,0.7821,0.53206,0.93425,1.91415,1.25936,0.00065842,0.00065842,0.00065842
5,58.9646,0.93956,1.21468,1.21451,0.99516,0.66667,0.78691,0.60961,0.83821,1.78005,1.11382,0.000810304,0.000810304,0.000810304
6,69.8276,1.10001,1.29802,1.34934,0.81321,0.72222,0.85019,0.67264,0.7879,1.7742,1.05279,0.00095506,0.00095506,0.00095506
7,82.1852,0.93313,1.20958,1.18796,1,0.60407,0.85019,0.6449,0.86767,1.65826,1.05863,0.00109269,0.00109269,0.00109269
8,94.2704,1.09599,1.28364,1.32865,0.8607,0.72222,0.90037,0.64763,1.01016,1.66621,1.28872,0.00122319,0.00122319,0.00122319
9,106.251,0.99729,1.2243,1.19694,0.8607,0.72222,0.90037,0.64763,1.01016,1.66621,1.28872,0.00134656,0.00134656,0.00134656
10,117.328,0.96849,1.20216,1.18625,0.84066,0.87974,0.94326,0.71417,0.85157,1.31018,1.10861,0.0014628,0.0014628,0.0014628
11,128.63,1.00746,1.24125,1.24201,0.84066,0.87974,0.94326,0.71417,0.85157,1.31018,1.10861,0.00157192,0.00157192,0.00157192
12,140.135,0.89104,1.06303,1.14333,0.92117,0.88889,0.9527,0.73555,0.82398,1.1541,1.0963,0.0015644,0.0015644,0.0015644
13,156.14,0.92223,1.10469,1.22977,0.92117,0.88889,0.9527,0.73555,0.82398,1.1541,1.0963,0.0015248,0.0015248,0.0015248
14,169.055,0.96966,1.16856,1.28116,1,0.83168,0.9439,0.74527,0.8,1.08624,1.05237,0.0014852,0.0014852,0.0014852
15,181.287,0.91886,1.08418,1.18883,1,0.88111,0.95403,0.759,0.80666,1.22845,1.03773,0.0014456,0.0014456,0.0014456
16,194.681,0.90533,1.10117,1.17183,1,0.88111,0.95403,0.759,0.80666,1.22845,1.03773,0.001406,0.001406,0.001406
17,207.995,0.87692,1.1434,1.19593,0.99305,0.94444,0.95864,0.72805,0.8447,1.33039,1.03966,0.0013664,0.0013664,0.0013664
18,221.712,0.85988,1.13704,1.11723,0.99305,0.94444,0.95864,0.72805,0.8447,1.33039,1.03966,0.0013268,0.0013268,0.0013268
19,234.267,0.94465,1.0886,1.20811,0.99653,0.94444,0.97071,0.76025,0.79077,1.06549,1.0321,0.0012872,0.0012872,0.0012872
20,247.548,0.91213,1.0997,1.22069,0.99653,0.94444,0.97071,0.76025,0.79077,1.06549,1.0321,0.0012476,0.0012476,0.0012476
21,260.394,0.84003,0.99766,1.15225,0.94049,0.94444,0.94727,0.67487,0.93684,1.21285,1.16074,0.001208,0.001208,0.001208
22,273.866,0.79645,0.93303,1.13883,1,0.83076,0.96318,0.74997,0.76981,1.07359,1.07927,0.0011684,0.0011684,0.0011684
23,287.621,0.85661,1.0933,1.1522,1,0.83076,0.96318,0.74997,0.76981,1.07359,1.07927,0.0011288,0.0011288,0.0011288
24,300.505,0.91581,1.29135,1.27812,0.99151,0.94444,0.99,0.74338,0.81938,0.96313,1.04238,0.0010892,0.0010892,0.0010892
25,313.716,0.8516,0.94566,1.10684,0.99151,0.94444,0.99,0.74338,0.81938,0.96313,1.04238,0.0010496,0.0010496,0.0010496
26,326.541,0.83574,0.922,1.10889,0.9363,0.88889,0.97056,0.73313,0.86441,1.01442,1.02954,0.00101,0.00101,0.00101
27,339.107,0.85045,0.98025,1.07444,0.9363,0.88889,0.97056,0.73313,0.86441,1.01442,1.02954,0.0009704,0.0009704,0.0009704
28,351.376,0.89871,1.03132,1.15922,0.88984,1,0.97106,0.7786,0.7081,0.9673,0.98017,0.0009308,0.0009308,0.0009308
29,364.418,0.9012,0.98012,1.18984,0.88984,1,0.97106,0.7786,0.7081,0.9673,0.98017,0.0008912,0.0008912,0.0008912
30,381.725,0.95325,1.04711,1.21175,0.92883,0.94444,0.97444,0.80468,0.65899,0.92249,0.96252,0.0008516,0.0008516,0.0008516
31,394.495,0.77372,0.89368,1.09256,0.93903,1,0.99237,0.80937,0.7238,0.84605,1.01817,0.000812,0.000812,0.000812
32,407.669,0.71942,0.92907,1.12421,0.93903,1,0.99237,0.80937,0.7238,0.84605,1.01817,0.0007724,0.0007724,0.0007724
33,421.122,0.81469,0.90636,1.09114,0.99325,0.94444,0.99237,0.81249,0.71582,0.79618,1.02548,0.0007328,0.0007328,0.0007328
34,434.106,0.78038,0.91624,1.08814,0.99325,0.94444,0.99237,0.81249,0.71582,0.79618,1.02548,0.0006932,0.0006932,0.0006932
35,446.978,0.89675,0.97597,1.13264,0.99547,0.94444,0.99237,0.81845,0.67667,0.79428,0.97223,0.0006536,0.0006536,0.0006536
36,459.955,0.76353,0.98492,1.14092,0.99547,0.94444,0.99237,0.81845,0.67667,0.79428,0.97223,0.000614,0.000614,0.000614
37,473.037,0.71122,0.85748,1.07574,1,0.94396,0.99237,0.82603,0.64956,0.75313,0.96048,0.0005744,0.0005744,0.0005744
38,490.911,0.75219,0.89377,1.1088,0.99723,0.94444,0.99237,0.80146,0.70388,0.79039,1.00375,0.0005348,0.0005348,0.0005348
39,520.127,0.69159,0.81792,1.08153,0.99723,0.94444,0.99237,0.80146,0.70388,0.79039,1.00375,0.0004952,0.0004952,0.0004952
40,536.606,0.71757,0.82239,1.05873,0.99607,0.94444,0.99,0.81242,0.6896,0.78007,0.98956,0.0004556,0.0004556,0.0004556
41,547.828,0.63141,1.00052,1.01279,0.99607,0.94444,0.99,0.81242,0.6896,0.78007,0.98956,0.000416,0.000416,0.000416
42,561.346,0.53198,0.87331,0.9828,0.94697,0.99244,0.99237,0.80247,0.71851,0.75888,1.00445,0.0003764,0.0003764,0.0003764
43,574.912,0.57231,0.86718,0.93614,0.94697,0.99244,0.99237,0.80247,0.71851,0.75888,1.00445,0.0003368,0.0003368,0.0003368
44,588.276,0.52363,0.85886,1.03253,0.94681,0.98934,0.99237,0.80849,0.69725,0.75928,1.00109,0.0002972,0.0002972,0.0002972
45,600.697,0.53488,0.83538,0.96967,0.94681,0.98934,0.99237,0.80849,0.69725,0.75928,1.00109,0.0002576,0.0002576,0.0002576
46,613.611,0.52629,0.83182,0.91756,0.94709,0.99479,0.99237,0.83161,0.66389,0.77078,0.97976,0.000218,0.000218,0.000218
47,625.794,0.62613,0.89446,0.96531,0.94711,0.99514,0.99237,0.82751,0.65049,0.75665,0.96533,0.0001784,0.0001784,0.0001784
48,638.109,0.49963,0.81666,0.9087,0.94711,0.99514,0.99237,0.82751,0.65049,0.75665,0.96533,0.0001388,0.0001388,0.0001388
49,651.686,0.47984,0.8045,0.94073,0.9451,1,0.99237,0.84323,0.62788,0.75148,0.95224,9.92e-05,9.92e-05,9.92e-05
50,664.441,0.45131,0.74506,0.92307,0.9451,1,0.99237,0.84323,0.62788,0.75148,0.95224,5.96e-05,5.96e-05,5.96e-05
