epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.645,2.3283,3.70684,1.9199,0.00206,0.19339,0.08857,0.05339,2.47776,3.93311,1.69529,0.00010003,0.00010003,0.00010003
2,22.6418,2.58615,3.87533,2.00578,0.00361,0.26561,0.09,0.04515,2.63403,3.95449,1.72964,0.000210106,0.000210106,0.000210106
3,34.3009,2.58308,3.82713,1.93371,0.00413,0.28413,0.12246,0.06393,2.58084,3.906,1.72418,0.000315655,0.000315655,0.000315655
4,45.5969,2.76891,4.17587,1.8927,0.00423,0.30952,0.11178,0.05656,2.46494,3.89361,1.67915,0.000416676,0.000416676,0.000416676
5,56.0112,2.43579,3.52198,1.70268,0.00513,0.37566,0.08564,0.05056,2.44136,3.8616,1.70145,0.000513171,0.000513171,0.000513171
6,65.7913,2.33409,3.26854,1.73082,0.73999,0.04762,0.08479,0.04879,2.50614,3.82019,1.71643,0.000605139,0.000605139,0.000605139
7,76.9326,2.77084,3.49194,1.80619,0.9393,0.04762,0.08636,0.06275,2.58886,3.66997,1.82999,0.000692579,0.000692579,0.000692579
8,87.9644,2.52201,3.20964,1.7512,0.72114,0.06984,0.08774,0.0405,2.51528,3.67937,1.74429,0.000775493,0.000775493,0.000775493
9,99.0559,2.29071,2.90297,1.71174,0.40331,0.02222,0.0551,0.03048,2.51948,3.57875,1.72119,0.000853879,0.000853879,0.000853879
10,109.511,2.40883,3.10664,1.71446,0.40331,0.02222,0.0551,0.03048,2.51948,3.57875,1.72119,0.000927738,0.000927738,0.000927738
11,120.728,2.20635,3.00397,1.62092,0.65945,0.06984,0.10689,0.05432,2.45144,3.21147,1.68015,0.00099707,0.00099707,0.00099707
12,130.441,2.38276,2.73549,1.67633,0.65945,0.06984,0.10689,0.05432,2.45144,3.21147,1.68015,0.00106188,0.00106188,0.00106188
13,141.245,2.37594,2.78961,1.67274,0.0783,0.1545,0.05975,0.02148,2.71764,4.38721,2.05693,0.00108947,0.00108947,0.00108947
14,147.387,2.17934,2.80108,1.60152,0.0783,0.1545,0.05975,0.02148,2.71764,4.38721,2.05693,0.00106118,0.00106118,0.00106118
15,153.902,2.28189,2.85273,1.61457,0.06227,0.1545,0.05236,0.02601,2.53864,4.35674,1.94965,0.00103288,0.00103288,0.00103288
16,159.795,2.30535,2.70748,1.53287,0.06227,0.1545,0.05236,0.02601,2.53864,4.35674,1.94965,0.00100459,0.00100459,0.00100459
17,165.988,2.39629,2.67537,1.70005,0.09174,0.1545,0.06123,0.03213,2.67042,4.03506,2.01882,0.000976293,0.000976293,0.000976293
18,172.022,2.60648,2.8522,1.86546,0.09174,0.1545,0.06123,0.03213,2.67042,4.03506,2.01882,0.000947999,0.000947999,0.000947999
19,178.53,2.33502,2.65388,1.60223,0.22061,0.08836,0.07225,0.02902,2.64782,3.84177,1.93367,0.000919704,0.000919704,0.000919704
20,184.849,2.40942,2.74944,1.69241,0.22061,0.08836,0.07225,0.02902,2.64782,3.84177,1.93367,0.00089141,0.00089141,0.00089141
21,191.137,2.13184,2.56177,1.63664,0.13847,0.1836,0.07321,0.02665,2.6616,4.49845,1.87256,0.000863116,0.000863116,0.000863116
22,197.268,2.22132,2.59606,1.60921,0.13847,0.1836,0.07321,0.02665,2.6616,4.49845,1.87256,0.000834822,0.000834822,0.000834822
23,203.637,2.38727,2.54152,1.71276,0.12572,0.20582,0.07757,0.02548,2.5246,4.96728,1.75377,0.000806528,0.000806528,0.000806528
24,209.49,2.36198,2.629,1.66244,0.12572,0.20582,0.07757,0.02548,2.5246,4.96728,1.75377,0.000778233,0.000778233,0.000778233
25,215.786,2.22668,2.49116,1.59965,0.24988,0.12537,0.09608,0.03781,2.47579,4.76356,1.7526,0.000749939,0.000749939,0.000749939
26,221.847,2.30723,2.55244,1.76891,0.24988,0.12537,0.09608,0.03781,2.47579,4.76356,1.7526,0.000721645,0.000721645,0.000721645
27,227.901,2.44678,2.81483,1.65009,0.24784,0.1433,0.0945,0.04422,2.47715,4.24627,1.74452,0.000693351,0.000693351,0.000693351
28,233.763,2.28238,2.53429,1.61214,0.24784,0.1433,0.0945,0.04422,2.47715,4.24627,1.74452,0.000665057,0.000665057,0.000665057
29,239.952,2.3226,2.57307,1.65137,0.42613,0.13576,0.11315,0.04805,2.45947,3.28269,1.81997,0.000636762,0.000636762,0.000636762
30,7965.58,2.06136,2.35482,1.52963,0.42613,0.13576,0.11315,0.04805,2.45947,3.28269,1.81997,0.000608468,0.000608468,0.000608468
31,7971.95,2.12422,2.41337,1.55819,0.31871,0.16746,0.12877,0.05637,2.50631,3.103,1.92249,0.000580174,0.000580174,0.000580174
32,7977.24,1.94503,2.39703,1.60348,0.31871,0.16746,0.12877,0.05637,2.50631,3.103,1.92249,0.00055188,0.00055188,0.00055188
33,7982.98,2.1953,2.52859,1.53211,0.19261,0.24524,0.12696,0.0709,2.50907,3.09924,1.89003,0.000523586,0.000523586,0.000523586
